Exercise;trainsMuscle;exercise_instruction;hasUtility;hasMechanics;hasForce;usesEquipment
Pelvic_tilt;glutes;Raise hips up by extending hips until fully extended. Lower hips until hips and back make contact with mat. Repeat.;auxiliary;isolated;push;bodyweight
Squat_(exercise) ;quadricep;Squat down by bending hips back while allowing knees to bend forward keeping back straight and knees pointed same direction as feet. Descend until knees and hips are fully bent. Extend knees and hips until legs are straight. Return and repeat;basic;compound;push;barbell
Russian_twist;obliques;Turn torso to one side while keeping arms straight and perpendicular to torso throughout movement. Return dumbbell back over shoulders by rotating torso to original position. Continue lowering dumbbell to opposite side. Repeat.;auxiliary;isolated;pull;dumbbell
Sit-up;upper_Abdomen;Raise torso from bench by bending waist and hips. Return until back of shoulders contact incline board. Repeat.;basic;compound;pull;bodyweight
Wall_sit;quadricep;Make sure your back is flat against the wall. Set your feet about shoulder-width apart and then about 2 ft out from the wall. Slide your back down the wall bending your legs until they’re in a 90 degree angle—or as close as you can get! Your knees should be directly above your ankles but no more forward. HOLD your position while contracting your abs. Stand slowly while leaning against the wall when done.;basic;compound;push;bodyweight
Calf_raises;calves;Raise heels by extending ankles as high as possible. Lower heels by bending ankles until calves are stretched. Repeat.;basic;isolated;pull;barbell
Leg_raise;lower_Abdomen;pull lower leg bar up by flexing hips toward arms by flexing hips then waist. Continue to raise knees toward shoulders by flexing waist raising hips from board. Return until waist and hips are extended down to original position. Repeat.;basic;compound;pull;machine
L-sit;lower_Abdomen;Simultaneously raise knees and torso until hips and knees are flexed. Return to starting position with waist hips and knees extended. Repeat.;basic;compound;pull;bodyweight
Biceps_curl;bicep;With elbows to side raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.;basic;isolated;pull;barbell
Leg_curl;hamstring;Raise ankles to glutes by flexing knees. Lower ankles until knees are straight. Repeat.;basic;isolated;pull;machine
Wrist_curl;forearm;Allow dumbbell to roll out of palm down to fingers. Raise dumbbell back up by gripping and pointing knuckles up as high as possible. Lower and repeat.;basic;isolated;pull;dumbbell
pullover_(exercise);pectoralis_Major;Keeping elbows slightly bent throughout movement lower dumbbell over and beyond head until upper arms are in-line with torso. pull dumbbell up and over chest. Repeat.;auxiliary;isolated;push;barbell
Fly_(exercise);pectoralis_Major;Lower dumbbells to sides until chest muscles are stretched with elbows fixed in slightly bent position. Bring dumbbells together in wide hugging motion until dumbbells are nearly together. Repeat.;auxiliary;isolated;push;dumbbell
Lunge_(exercise);quadricep;Lunge forward with first leg. Land on heel then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.;basic;compound;push;barbell
Bent-over_row;latassimus_Dorsi;pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.;basic;compound;pull;barbell
Leg_extension;quadricep;Move lever forward and upward by extending knees until legs are straight. Return lever to original position by bending knees. Repeat.;auxiliary;isolated;push;machine
Military_press;deltoid;Press bar upward until arms are extended overhead. Lower to front of neck and repeat.;basic;compound;push;barbell
Lying_triceps_extensions;tricep;Lower bar by bending elbows. As bar nears head move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head reposition elbows to their former position until arms are fully extended. Repeat.;basic;isolated;push;dumbbell
Good-morning;hamstring;Keeping back straight bend hips to lower torso forward until parallel to floor. Raise torso until hips are extended. Repeat.;basic;compound;push;barbell
Bench_press;pectoralis_Major;Lower weight to chest. Press bar upward until arms are extended. Repeat.;basic;compound;push;barbell
Overhead_press;deltoid;Press bar upward until arms are extended overhead. Return to upper chest and repeat.;basic;compound;push;barbell
Deadlift;latassimus_Dorsi;Lift bar by extending hips and knees to full extension. pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward keeping back straight and knees pointed same direction as feet. Repeat.;basic;compound;pull;barbell
pulldown_exercise;latassimus_Dorsi;pull down cable bar to upper chest. Return until arms and shoulders are fully extended. Repeat.;basic;compound;pull;machine
Squat_(exercise);quadricep;Squat down by bending hips back while allowing knees to bend forward keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.;basic;compound;push;barbell
